commit,kidcount,distance
e4f7ec99,2,1
e86fbef0,2,2
3288ddb4,2,1
93d0f0e1,2,2
6c983014,2,1
fe7e2ecb,2,7
64694d6a,2,1
796e14ea,2,1
9fac1765,2,1
d18fd272,2,1
12f767bd,2,2
16f8ef69,2,1
03c410b9,2,1
0cf4a25d,5,1
11127f6a,2,1
19c51747,2,1
23c0b3d8,2,1
2518b56f,2,1
268c6d55,6,1
2820975c,2,1
2821afa7,5,1
2de66447,3,1
3355bca1,2,1
3c03e4cb,3,1
41ab3b51,2,1
512ed132,3,1
52a47361,3,1
573591f8,2,1
57c86a00,3,1
6d2c2d05,2,1
7ac95504,3,1
7adb9de4,2,1
7d0d7c01,4,1
814cdb0e,2,1
863ad673,3,1
88f7aa50,2,1
8adec4d4,4,1
8d4918d1,2,1
8e6ecc18,2,1
8f2c84ae,2,1
908efa01,3,1
912cd6fa,5,1
9e028c61,2,1
a5e5d102,4,1
a8e352dc,2,1
b428a858,2,1
b5761cc3,2,1
c6b7707d,3,3
d4da04b1,2,1
e548f3a6,2,1
f1500ba0,5,1
f531f0bd,4,1
fee88893,2,1
ff48f0dc,2,1
4c59c6d1,2,1
598aafb3,2,1
dca74a94,2,1
f4712af0,2,2
808d087d,4,1
d0b89cd3,2,4
cf1989e1,2,1
f19e8202,2,1
2200667b,2,1
72e98a23,2,8
7910e53d,2,3
8655e352,2,1
a161f124,2,3
b58b970d,2,1
de889a30,2,29
1ffdaa9f,3,1
3fb09d1a,2,1
b1a619dc,2,1
b24524fe,2,1
07be957b,2,1
0a413630,2,1
21b8ae6a,2,1
275da9b0,2,1
28c1b576,2,4
2e77a83d,2,1
3aa0a4df,3,1
4d06cef4,2,4
6ac37cc9,2,1
853d9204,3,1
8dc7418c,2,1
978f0b7e,2,1
c712c90c,2,1
d77527f6,2,1
da78adae,2,1
dbabd461,2,1
de7623ed,2,1
e227bb4b,3,1
f1ef0710,2,1
138da809,2,1
2e68167c,2,2
8af00ef3,2,4
326d0045,3,1
de7b6160,6,1
9c4539b3,2,1
a22182e1,2,1
1886210e,2,1
904b09b5,2,2
0167f3fd,2,1
0aef21d6,2,1
0b1c92c3,2,1
130803dd,2,19
19e4c3a1,2,1
1da8b662,2,10
1f13c082,2,7
22ea1be0,2,2
26df243b,2,1
29ca7db9,2,7
2d27311d,2,3
2e617083,3,6
31f21b96,2,1
320f6abb,2,1
3388591d,2,5
3cd83a99,4,3
443ddb63,6,1
45154e9a,2,1
454b0ae0,2,1
467ccfbb,2,1
4cd1fbc4,2,9
4f3ce719,2,1
4fdc0d49,2,1
51aea619,2,1
575b395a,2,10
5ce78c48,2,1
60be4d2c,2,1
61212e84,3,1
626e0a55,2,2
6339521d,2,1
639752ed,2,1
643e2928,4,1
6d7368c0,2,1
70d32fcc,2,2
7a6b4eb9,2,2
7b4ffc97,3,1
7ec48601,2,2
8257fadd,2,1
89a0c910,2,1
89c13486,2,1
8b64d4fc,2,6
8e3137a9,2,1
970afeeb,3,1
9a1b6090,2,3
9b1ae224,2,1
9da2c2c7,2,1
a04e24e5,2,1
a2c04b97,3,1
a4e929d9,2,2
a5e393fc,2,2
a5fedf54,2,5
a74058cb,2,46
acb82d71,2,2
ae003e04,2,1
aeb06067,2,1
b2239041,2,1
b3bfc9d3,2,1
b403be63,2,26
