63968002,1532540,javaee-samples/javaee7-samples,2,2
63968432,30629,Shopify/active_shipping,12,1
63968525,234484,SonarSource/sonarqube,1,1
63970824,877336,puniverse/quasar,2,1
63970953,972856,ForgeEssentials/ForgeEssentialsMain,1,1
63971424,10075,jruby/jruby,32,6
63972320,346162,restlet/restlet-framework-java,1,1
63973215,2360716,coorasse/Airesis,1,1
63973485,10075,jruby/jruby,32,5
63973636,380402,structr/structr,3,1
63974187,1846996,deeplearning4j/deeplearning4j,1,1
63975107,2360716,coorasse/Airesis,1,1
63975842,1846996,deeplearning4j/deeplearning4j,1,1
63978994,498748,fphilipe/premailer-rails,24,5
63980828,2360716,coorasse/Airesis,1,1
63982301,2360716,coorasse/Airesis,1,1
63983704,503448,rpush/rpush,21,3
63984271,2360716,coorasse/Airesis,1,1
63984296,2360716,coorasse/Airesis,1,1
63987578,10075,jruby/jruby,32,4
63988067,2360716,coorasse/Airesis,1,1
63989248,380402,structr/structr,3,1
63991301,898813,jayroh/thredded,18,18
63993938,898813,jayroh/thredded,18,18
63993960,898813,jayroh/thredded,18,18
63994119,10075,jruby/jruby,32,3
63994883,498748,fphilipe/premailer-rails,24,5
63994908,498748,fphilipe/premailer-rails,24,5
63995088,898813,jayroh/thredded,18,18
63995110,898813,jayroh/thredded,18,18
63996372,10075,jruby/jruby,32,4
63996612,10075,jruby/jruby,32,4
64000141,898813,jayroh/thredded,18,6
64000936,10075,jruby/jruby,32,3
64001424,2556457,MirakelX/mirakel-android,1,1
64007395,127,rspec/rspec-rails,44,17
64007659,127,rspec/rspec-rails,44,12
64008544,10075,jruby/jruby,32,4
64010511,1129997,ruby-concurrency/concurrent-ruby,9,8
64019585,1129997,ruby-concurrency/concurrent-ruby,9,2
64021858,1129997,ruby-concurrency/concurrent-ruby,9,8
64024314,1512262,poise/poise,5,1
64027044,42,diaspora/diaspora,8,1
64028457,706548,xetorthio/jedis,4,1
64028585,380402,structr/structr,3,1
64036376,42,diaspora/diaspora,8,2
64036387,42,diaspora/diaspora,8,1
64043525,1412771,privly/privly-web,1,1
64051734,1302426,Unidata/thredds,3,3
64051972,1500208,sdywcd/jshoper3x,1,1
64054273,1412771,privly/privly-web,1,1
64055141,1846996,deeplearning4j/deeplearning4j,1,1
64055146,1846996,deeplearning4j/deeplearning4j,1,1
64055427,647106,opf/openproject,7,1
64055592,1846996,deeplearning4j/deeplearning4j,1,1
64056217,647106,opf/openproject,8,1
64056876,2180502,BuildCraft/BuildCraft,1,1
64056946,2180502,BuildCraft/BuildCraft,1,1
64057077,1846996,deeplearning4j/deeplearning4j,1,1
64057419,1846996,deeplearning4j/deeplearning4j,1,1
64057642,380402,structr/structr,3,1
64057924,1846996,deeplearning4j/deeplearning4j,1,1
64057926,1846996,deeplearning4j/deeplearning4j,1,1
64057934,1846996,deeplearning4j/deeplearning4j,1,1
64059438,647106,opf/openproject,8,3
64061628,474586,leereilly/swot,2,1
64068095,365717,geoserver/geoserver,3,1
64068602,193299,danmunn/redmine_dmsf,2,2
64069965,380402,structr/structr,3,1
64073759,12709,Graylog2/graylog2-server,2,1
64075655,647106,opf/openproject,8,1
64076812,2180502,BuildCraft/BuildCraft,1,1
64077909,235795,owncloud/android,1,1
64078208,235795,owncloud/android,1,1
64079355,235795,owncloud/android,1,1
64080227,235795,owncloud/android,1,1
64081463,647106,opf/openproject,8,2
64081474,647106,opf/openproject,8,3
64082180,10075,jruby/jruby,32,3
64082524,2924077,jbachorik/btrace,2,2
64083710,10075,jruby/jruby,32,3
64090412,2180502,BuildCraft/BuildCraft,1,1
64091159,877336,puniverse/quasar,2,1
64091751,10075,jruby/jruby,32,3
64092089,234484,SonarSource/sonarqube,1,1
64092618,234484,SonarSource/sonarqube,1,1
64093217,647106,opf/openproject,8,2
64095410,234484,SonarSource/sonarqube,1,1
64098330,2556457,MirakelX/mirakel-android,1,1
64100859,2556457,MirakelX/mirakel-android,1,1
64100982,2556457,MirakelX/mirakel-android,1,1
64101175,2556457,MirakelX/mirakel-android,1,1
64105163,1532540,javaee-samples/javaee7-samples,2,2
64105661,10075,jruby/jruby,32,3
64106997,10075,jruby/jruby,32,3
64112942,10075,jruby/jruby,32,5
64113157,1323155,yegor256/rultor,1,1
64115704,1299095,ocpsoft/rewrite,5,5
64117755,1299095,ocpsoft/rewrite,5,1
64117839,1532540,javaee-samples/javaee7-samples,2,2
64120358,1532540,javaee-samples/javaee7-samples,2,2
64124361,10075,jruby/jruby,32,3
64126086,1231192,jbox-web/redmine_git_hosting,20,8
64128648,1532540,javaee-samples/javaee7-samples,2,2
64128655,10075,jruby/jruby,32,3
64132147,529767,kostya/eye,4,2
64132372,380402,structr/structr,3,1
64133419,317988,foursquare/twofishes,1,1
64133474,1846996,deeplearning4j/deeplearning4j,1,1
64133901,317988,foursquare/twofishes,1,1
64134012,2360716,coorasse/Airesis,1,1
64141104,1846996,deeplearning4j/deeplearning4j,1,1
64141880,1846996,deeplearning4j/deeplearning4j,1,1
64142143,380402,structr/structr,3,1
64142192,10075,jruby/jruby,32,3
64142693,1846996,deeplearning4j/deeplearning4j,1,1
64144840,269684,antirez/redis-doc,1,1
64145259,269684,antirez/redis-doc,1,1
64147876,269684,antirez/redis-doc,1,1
64148086,342991,stanfy/enroscar,2,1
64148592,365717,geoserver/geoserver,3,1
64148836,365717,geoserver/geoserver,3,1
64149590,10075,jruby/jruby,32,3
64149648,143012,chef/chef,5,1
64150129,269684,antirez/redis-doc,1,1
64150445,10075,jruby/jruby,32,3
64150667,269684,antirez/redis-doc,1,1
64153941,1874539,relayrides/pushy,4,1
64154815,269684,antirez/redis-doc,1,1
64155023,269684,antirez/redis-doc,1,1
64158071,10075,jruby/jruby,32,3
64158323,10075,jruby/jruby,32,3
64158970,1874539,relayrides/pushy,4,2
64158992,1874539,relayrides/pushy,4,2
64160010,1253547,MrTJP/ProjectRed,3,3
64160230,10075,jruby/jruby,32,3
64161969,342991,stanfy/enroscar,2,2
64163714,10075,jruby/jruby,32,3
64163780,342991,stanfy/enroscar,2,1
64165716,342991,stanfy/enroscar,2,1
64167476,1221979,rackerlabs/blueflood,2,2
64168016,2694124,AChep/AcDisplay,1,1
64169374,342991,stanfy/enroscar,2,1
64169735,10075,jruby/jruby,32,31
64171520,574271,NetSweet/netsuite,1,1
64171747,1846996,deeplearning4j/deeplearning4j,1,1
64172366,513298,cantino/huginn,6,1
64173397,278779,griffon/griffon,1,1
64175203,380402,structr/structr,3,1
64175703,342991,stanfy/enroscar,2,2
64177548,380402,structr/structr,3,1
64180095,1302426,Unidata/thredds,3,3
64180291,1846996,deeplearning4j/deeplearning4j,1,1
64180293,1846996,deeplearning4j/deeplearning4j,1,1
