b55001ac,DSpace/DSpace,1,1081,30792783,30794058
4260dd05,DSpace/DSpace,1,2419,108496715,115260435
dfcf5a24,DSpace/DSpace,1,-19885,34549964,34742312
038e2c57,DSpace/DSpace,2,0,83277760,83668734
046d96c4,DSpace/DSpace,1,396,17982195,18006561
26e9035a,DSpace/DSpace,2,2,40344129,40344538
f168c6c3,DSpace/DSpace,1,271,62482134,62502512
260b8046,DSpace/DSpace,1,13,56841749,56842802
d8d33674,DSpace/DSpace,1,2617,26716157,26881924
d138359f,DSpace/DSpace,2,17,40337406,40339335
2d7f0436,DSpace/DSpace,2,0,32224901,32351515
c5436f3f,DSpace/DSpace,1,4502,36945400,37169512
eb399686,DSpace/DSpace,1,697,36588432,36637955
884519a9,DSpace/DSpace,3,685,40346599,40381636
8a61be26,DSpace/DSpace,1,3969,52058616,52444137
eeb3061c,DSpace/DSpace,1,13,13114913,13115275
c567547b,DSpace/DSpace,1,4242,48360498,48768444
917aff3f,DSpace/DSpace,2,2,40342052,40342613
2f756662,DSpace/DSpace,1,0,30274179,30274182
5061c41c,DSpace/DSpace,1,53,109564632,109574473
f73b4b69,DSpace/DSpace,2,1805,74043425,74242144
5e7cb5e1,DSpace/DSpace,1,750,32551892,32606087
5e7cb5e1,DSpace/DSpace,1,1403,32551892,32608254
5e7cb5e1,DSpace/DSpace,1,1772,32551892,32593727
408fcc07,DSpace/DSpace,2,0,106591645,106709932
67310950,DSpace/DSpace,1,21,50700499,50702581
1fdfe05c,DSpace/DSpace,1,4121,51133261,51540861
b2260c48,DSpace/DSpace,1,9932,128824336,131154837
d2c06535,DSpace/DSpace,1,18,45345293,45346445
32e096fd,DSpace/DSpace,1,31,40150850,40156503
6e0142dd,DSpace/DSpace,1,9783,37401584,38025318
a3458329,DSpace/DSpace,2,0,32278060,32348299
7433eda1,DSpace/DSpace,1,11,26332160,26332913
b13bc58c,DSpace/DSpace,1,24,19038521,19040034
e9ce6fdb,DSpace/DSpace,1,3164,32417766,32419477
1803d3a3,OpenTSDB/opentsdb,1,6,50871602,50872180
3ed001f6,OpenTSDB/opentsdb,1,26,46672737,46674349
74931051,OpenTSDB/opentsdb,1,3,91060357,91060683
d0e877c0,OpenTSDB/opentsdb,1,19,109063603,109065717
ac096ebe,OpenTSDB/opentsdb,1,24,59152203,59154437
10ac615b,OpenTSDB/opentsdb,1,163,53887805,53896992
10ac615b,OpenTSDB/opentsdb,1,16344,53887805,55355524
d69c5c85,OpenTSDB/opentsdb,1,33,90172740,90178910
99a989fb,OpenTSDB/opentsdb,1,9,97116926,97118308
5c5b2831,OpenTSDB/opentsdb,4,20074,50883752,52672376
f5d8168b,OpenTSDB/opentsdb,1,2482,50883707,51108475
54303ce2,OpenTSDB/opentsdb,1,4,52683244,52683451
2d543a47,OpenTSDB/opentsdb,1,46045,40510604,43799884
c434dc1c,OpenTSDB/opentsdb,3,11071,92384861,93683009
21f7e460,OpenTSDB/opentsdb,1,307,125657924,125724019
ab276c82,OpenTSDB/opentsdb,2,4769,59152228,59659216
d4fe65b7,OpenTSDB/opentsdb,5,2895,125268244,125657112
